person_id,movie_id,category_id,year_ceremony,ceremony
40176,42448,1,1975,47
380,240,23,1975,47
9560,16153,2,1975,47
4111,4176,24,1975,47
1776,240,9,1975,47
514,510,1,1976,48
80625,16561,23,1976,48
7071,510,2,1976,48
30123,31121,24,1976,48
3974,510,9,1976,48
29903,10774,67,1977,49
4765,891,23,1977,49
6450,10774,68,1977,49
10083,10774,24,1977,49
16513,1366,9,1977,49
3037,14741,67,1978,50
4765,42222,23,1978,50
3092,703,68,1978,50
13333,42222,24,1978,50
1243,703,9,1978,50
10127,31657,67,1979,51
4690,11778,23,1979,51
6352,31657,68,1979,51
10978,26686,24,1979,51
12114,11778,9,1979,51
4483,12102,67,1980,52
19550,10322,23,1980,52
35,40842,68,1980,52
5064,12102,24,1980,52
6729,12102,9,1980,52
380,1578,67,1981,53
16327,16619,23,1981,53
5606,16769,68,1981,53
2453,38772,24,1981,53
4135,16619,9,1981,53
4958,11816,67,1982,54
11857,13665,23,1982,54
6598,11816,68,1982,54
21151,18254,24,1982,54
6449,18254,9,1982,54
2282,783,67,1983,55
20959,2623,23,1983,55
5064,15764,68,1983,55
4431,9576,24,1983,55
4786,783,9,1983,55
3087,42121,67,1984,56
514,11050,23,1984,56
4090,11050,68,1984,56
12516,11541,24,1984,56
3388,11050,9,1984,56
1164,279,67,1985,57
8976,625,23,1985,57
35,13681,68,1985,57
3672,15927,24,1985,57
3974,279,9,1985,57
227,11703,67,1986,58
18156,10328,23,1986,58
41283,47908,68,1986,58
5657,2075,24,1986,58
2226,606,9,1986,58
3636,11873,67,1987,59
3895,5143,23,1987,59
19797,1890,68,1987,59
1902,5143,24,1987,59
1152,792,9,1987,59
3392,10673,67,1988,60
738,117,23,1988,60
38225,2039,68,1988,60
3019,2039,24,1988,60
4956,746,9,1988,60
4483,380,67,1989,61
8945,623,23,1989,61
1038,10868,68,1989,61
16935,31052,24,1989,61
8246,380,9,1989,61
11856,10161,67,1990,62
5292,9665,23,1990,62
5698,403,68,1990,62
18345,10161,24,1990,62
1152,2604,9,1990,62
16940,38718,67,1991,63
4517,769,23,1991,63
8534,1700,68,1991,63
2395,251,24,1991,63
1269,581,9,1991,63
4173,274,67,1992,64
3785,1406,23,1992,64
1038,274,68,1992,64
2167,177,24,1992,64
16294,274,9,1992,64
1158,9475,67,1993,65
193,33,23,1993,65
7056,8293,68,1993,65
3141,10377,24,1993,65
190,33,9,1993,65
31,9800,67,1994,66
2176,5503,23,1994,66
18686,713,68,1994,66
10690,713,24,1994,66
488,424,9,1994,66
31,13,67,1995,67
2641,522,23,1995,67
4431,57834,68,1995,67
1902,11382,24,1995,67
24,13,9,1995,67
2963,451,67,1996,68
1979,629,23,1996,68
4038,687,68,1996,68
23931,11448,24,1996,68
2461,197,9,1996,68
118,7863,67,1997,69
9777,9390,23,1997,69
3910,275,68,1997,69
1137,409,24,1997,69
2239,409,9,1997,69
514,2898,67,1998,70
2157,489,23,1998,70
9994,2898,68,1998,70
326,2118,24,1998,70
2710,597,9,1998,70
4818,637,67,1999,71
5563,31662,23,1999,71
12052,1934,68,1999,71
5309,1934,24,1999,71
488,857,9,1999,71
1979,14,67,2000,72
3895,1715,23,2000,72
448,226,68,2000,72
11701,3558,24,2000,72
39,14,9,2000,72
934,98,67,2001,73
1121,1900,23,2001,73
1204,462,68,2001,73
4726,12509,24,2001,73
1884,1900,9,2001,73
5292,2034,67,2002,74
388,11889,23,2002,74
4587,1365,68,2002,74
6161,453,24,2002,74
6159,453,9,2002,74
3490,423,67,2003,75
2955,2757,23,2003,75
2227,590,68,2003,75
1922,1574,24,2003,75
3556,423,9,2003,75
2228,322,67,2004,76
504,322,23,2004,76
6885,504,68,2004,76
9137,2289,24,2004,76
108,122,9,2004,76
134,1677,67,2005,77
192,70,23,2005,77
448,70,68,2005,77
112,2567,24,2005,77
190,70,9,2005,77
1233,398,67,2006,78
1461,231,23,2006,78
368,69,68,2006,78
3293,1985,24,2006,78
1614,142,9,2006,78
2178,1523,67,2007,79
1903,773,23,2007,79
15735,1165,68,2007,79
15565,1125,24,2007,79
1032,1422,9,2007,79
11856,7345,67,2008,80
3810,6977,23,2008,80
8293,1407,68,2008,80
3063,4566,24,2008,80
1223,6977,9,2008,80
1224,6977,9,2008,80
2228,10139,67,2009,81
1810,155,23,2009,81
204,8055,68,2009,81
955,5038,24,2009,81
2034,12405,9,2009,81
1229,25196,67,2010,82
27319,16869,23,2010,82
18277,22881,68,2010,82
60561,25793,24,2010,82
14392,12162,9,2010,82
5472,45269,67,2011,83
