movie_id,director_id
116604,1064096
2268,3288
7326,52443
10139,5216
155,525
8055,468
5038,1243
10681,7
4922,7467
12405,2034
12783,73460
14048,76998
129235,946122
16804,76936
20722,95768
23764,1092982
25196,65167
16869,138
22881,54040
25793,20019
14160,12890
19995,2710
18320,69371
12162,14392
23128,94815
154576,1140442
25376,84714
13475,15344
32389,109155
32389,109153
32389,109154
47798,993870
45269,70500
45317,17883
44214,6431
10193,8
12155,510
27205,525
44639,74058
113366,1257953
113366,1257954
37799,7467
44716,1011
7978,4945
58515,227911
58515,98897
58763,1157087
74643,67717
55347,17439
71688,71068
50014,55789
44896,1704
44826,1032
82620,224687
82620,110265
89191,240740
89191,1299467
65754,7467
60243,229931
64328,26205
86412,935043
86412,60678
92965,2589
65057,13235
59436,1243
72976,488
68718,138
82693,17883
82695,70500
62177,59803
62177,126638
87827,1614
96724,36588
84334,930708
137648,436081
137648,220518
68734,880
86837,6011
37724,39
140420,8020
157289,234817
97630,14392
152532,69371
160588,1243
76203,72757
109445,1120694
109445,15774
49047,11218
64682,6201
159014,228643
249724,1106092
179144,56194
234862,1270224
234862,1270225
249699,1284964
152601,5953
266856,76998
244786,136495
284293,82337
284293,82335
85350,564
177572,227439
177572,70238
194662,223
120467,5655
293310,220691
248808,142404
209274,64194
273895,929825
293299,1364881
220809,1205890
190859,190
157336,525
205596,77965
281957,223
296098,488
264644,83281
306819,70500
150540,12890
76341,20629
331781,55251
369364,1299467
336050,1454941
273248,138
206647,39
314365,17867
351981,1491201
369373,1571805
264660,2036
318846,55710
334541,30711
376867,92784
313369,136495
393457,5292
269149,76595
269149,165787
259316,11343
377462,140617
416211,1308004
324786,2461
375315,229931
297761,19769
399106,8012
335797,52842
329865,137427
278927,15277
399404,36588
359940,54472
389015,50767
354912,8
335984,137427
400617,4762
399055,10828
432976,1208891
473278,1050074
374720,525
429191,1142171
483306,139474
492223,3566
398818,78160
419430,291263
424694,9032
490132,7396
375262,122423
465914,92784
324857,936670
324857,151007
324857,59918
426426,11218
284054,1056121
515042,1027910
515042,1403129
524288,2042770
429197,55710
332562,51329
514754,2009739
542417,1119247
369972,136495
487558,5281
475557,57130
466272,138
491283,150098
492188,5656
301528,84496
530915,39
331482,45400
496243,21684
565716,48506
565716,48507
612074,404572
359724,366
525661,6737
504608,974
589739,587970
589739,1779942
589739,23684
600274,131239
515001,55934
600354,1150548
583406,1140231
581734,1395183
615643,931952
508442,12890
614560,7467
615667,5369
682110,2561786
682110,1688115
741845,1257750
502033,1076793
580175,4453
713776,78500
713776,1209181
787428,1230202
787428,1018722
577922,525
582014,1252934
614917,1415665
776503,154865
601470,22215
511809,488
568124,76595
568124,1318201
438631,137427
337404,50767
600583,10757
776527,4719
822582,1670204
758866,1487492
370172,87257
601329,1574679
972995,3540512
777270,11181
785084,6431
545611,1317730
545611,1383612
555604,10828
555604,1245934
49046,221522
505642,1056121
926676,1932822
1041580,3762089
579974,147021
995133,3735212
995133,3735213
889598,3273849
889598,2813547
361743,86270
76600,2710
777245,98
872585,525
792307,122423
840430,13235
508883,608
1058616,3820182
1171861,1670204
1171861,1802871
467244,66728
346698,45400
1214020,8046
923939,5655
940721,43652
1056360,1893777
915935,1175620
